0 Sea Zone  (3029,2501)  (2865,2606)  (2835,2710)  (3061,2713)  (3171,2577)  | overflowToLeft=false
Italian East Africa  (2230,4695)  (2284,4895)  (2187,4737)  (2350,4896)  (2272,4783)  (2106,4809)  (2355,4965)  (2433,4947)  (2429,4878)  (2507,4898)  (2194,4816)  (2203,4877)  | overflowToLeft=false
Italy  (6572,2423)  (1753,3670)  (1701,3630)  (1810,3878)  (1688,3568)  (1688,3568)  (1816,3606)  (1780,3810)  (1736,3731)  (1766,3857)  (1652,3906)  (1619,3727)  (1678,3953)  (1596,3772)  (1759,3911)  (1755,3607)  | overflowToLeft=false
Japan  (6572,3503)  (4140,2959)  (4133,3130)  (4151,2912)  (3897,2773)  (3897,2773)  (3999,2821)  (4083,2879)  (4146,3017)  (4122,3073)  (4174,3133)  (4159,3223)  (3796,2759)  | overflowToLeft=false
Japanese Convoy Zone  (5369,5419)  (5416,5419)  | overflowToLeft=false
Kamchatka  (3426,2506)  (3699,2581)  (3508,2769)  (3493,2705)  (3460,2649)  (3436,2591)  (3546,2846)  (3570,2907)  (3618,2577)  (3372,2567)  (3374,2478)  (3319,2493)  (3324,2427)  | overflowToLeft=false
Karelia  (7092,1702)  (2523,3173)  (2383,3291)  (2583,2975)  (2483,3255)  (2483,3255)  (2509,3122)  (2524,3068)  (2532,3017)  (2582,3026)  (2620,3072)  | overflowToLeft=false
Kharkov Crimea  (2437,3734)  (2255,3925)  (2319,3853)  (2314,3914)  (2447,3793)  | overflowToLeft=false
Kiangsu  (6572,3863)  (3822,3446)  (3953,3483)  (3953,3483)  (3980,3537)  (3902,3413)  (3819,3380)  (3908,3359)  (4016,3466)  (3889,3466)  | overflowToLeft=false
Kursk  (2436,3643)  (2532,3773)  (2519,3722)  (2509,3672)  (2459,3697)  (2468,3621)  | overflowToLeft=false
Kwangtung  (6571,3143)  (4082,3765)  (4110,3681)  (4049,3729)  | overflowToLeft=false
Lake  (2831,3888)  (1950,4949)  (2468,2022)  (5690,3409)  (1423,1370)  | overflowToLeft=false
Liberia  (485,3824)  (524,3838)  | overflowToLeft=false
Libya  (1550,4052)  (1739,4281)  (1801,4281)  (1747,4348)  (1681,4349)  (1719,4411)  (1453,4092)  (1513,4094)  (1504,4161)  (1663,4279)  (1573,4229)  | overflowToLeft=false
Madagascar  (2277,5495)  (2426,5397)  (2066,5519)  (2128,5517)  (2362,5421)  (2184,5469)  (2240,5466)  | overflowToLeft=false
Malaya  (6572,2782)  (4203,4416)  (4082,4424)  (4120,4345)  (4163,4399)  | overflowToLeft=false
Malta  (1609,4017)  (1657,4072)  (1659,4033)  | overflowToLeft=false
Manchukuo  (3762,3131)  (3881,3297)  (3838,3229)  (3838,3229)  (3768,3244)  (3647,3113)  (3794,3097)  (3796,3303)  (3664,3202)  (3725,3121)  (3751,3183)  (3819,3163)  | overflowToLeft=false
Mexico  (2605,1526)  (2266,1619)  (2266,1619)  (2547,1509)  (2487,1508)  (2525,1564)  (2663,1595)  (2721,1595)  (2777,1617)  (2423,1499)  (2327,1507)  (2676,1538)  (2830,1615)  (2827,1546)  (2603,1587)  | overflowToLeft=false
Midway Island  (3834,1920)  (3899,1937)  | overflowToLeft=false
Morocco  (986,3650)  (1147,3737)  (1040,3650)  (1084,3713)  (1136,3680)  | overflowToLeft=false
Casablanca  (1103,3627)  | overflowToLeft=false
Mozambique  (1745,5233)  (1889,5169)  (1645,5248)  (1949,5178)  (1731,5194)  | overflowToLeft=false
Nenetsia  (2915,3213)  (2808,3246)  (2964,3327)  (3048,3327)  (2973,3253)  (2764,3310)  (2885,3209)  (2886,3271)  | overflowToLeft=false
New Caledonia  (5353,1863)  (5307,1779)  (5302,1833)  | overflowToLeft=false
New Guinea  (5013,3204)  (5121,3104)  (5041,3075)  (5046,3005)  (5064,2939)  (5097,2865)  (5017,3260)  (4957,3349)  (4927,3405)  (5023,3143)  (5077,3159)  | overflowToLeft=false
Rabaul  (5052,2638)  | overflowToLeft=false
New Zealand  (5327,1248)  (5380,1209)  (5388,1149)  (5655,1211)  (5593,1193)  (5537,1184)  (5478,1177)  | overflowToLeft=false
Northern Ireland  (1761,2867)  (1730,2890)  | overflowToLeft=false
Norway  (2106,3051)  (2005,3067)  (2336,2921)  (2022,3124)  (2164,3031)  (2217,2988)  (2272,2952)  (2398,2887)  (2460,2886)  (2518,2882)  (2096,3117)  | overflowToLeft=false
Ostland  (2274,3495)  (2309,3555)  (2315,3476)  (2225,3542)  (2216,3476)  (2304,3328)  (2284,3388)  (2222,3398)  (2267,3445)  | overflowToLeft=false
Outer Mongolia  (3467,3446)  (3353,3515)  (3571,3406)  (3613,3310)  (3535,3515)  (3479,3513)  (3342,3430)  (3518,3408)  (3419,3542)  (3408,3434)  (3297,3491)  (3586,3462)  (3524,3460)  (3411,3490)  | overflowToLeft=false
Papua  (5194,2814)  (5117,2990)  (5182,2753)  (5147,2865)  (5121,2923)  (5136,3026)  | overflowToLeft=false
Peru Bolivia  (1533,1363)  (1685,1389)  (1688,1449)  (1306,1353)  (1257,1437)  (1320,1443)  (1386,1440)  (1369,1367)  (1479,1363)  (1640,1487)  (1254,1381)  | overflowToLeft=false
Philippine Islands  (6573,4223)  (4418,3699)  (4625,3660)  (4625,3604)  (4348,3636)  | overflowToLeft=false
Phoenix Islands  (4374,1446)  (4429,1481)  | overflowToLeft=false
Poland  (6573,2062)  (2093,3543)  (2122,3406)  (2049,3463)  (2049,3463)  (2140,3665)  (2124,3616)  (2139,3540)  (2116,3475)  (2074,3581)  (2070,3505)  | overflowToLeft=false
Portugal  (1299,3418)  (1164,3431)  (1155,3483)  (1225,3417)  (1195,3452)  (1259,3383)  | overflowToLeft=true
Rhodesia  (1630,5164)  (1504,5019)  (1734,5069)  (1790,5093)  (1564,5055)  (1528,5114)  (1585,5112)  | overflowToLeft=false
Rio de Oro  (723,3574)  (780,3592)  (842,3597)  (895,3622)  (914,3672)  | overflowToLeft=true
Romania Bulgaria  (2178,3803)  (2162,3876)  (2071,3823)  (2237,3789)  (2183,3746)  (2035,3767)  (2018,3858)  (2100,3887)  (2046,3911)  (2127,3827)  | overflowToLeft=false
Russia  (7094,1342)  (2651,3491)  (2562,3448)  (2562,3448)  (2587,3388)  (2570,3582)  (2627,3580)  (2598,3638)  (2659,3638)  (2755,3488)  (2813,3487)  (2770,3430)  (2688,3578)  (2748,3578)  (2804,3576)  (2722,3637)  (2782,3636)  (2615,3699)  (2658,3358)  (2519,3516)  (2580,3513)  (2638,3432)  (2703,3426)  | overflowToLeft=false
Ryukyu Islands  (4457,3194)  (4396,3219)  (4414,3271)  | overflowToLeft=false
Samoan Islands  (4748,980)  (4709,1018)  | overflowToLeft=false
Saudi Arabia  (2378,4553)  (2572,4499)  (2440,4421)  (2377,4421)  (2374,4485)  (2317,4485)  (2446,4588)  (2518,4589)  (2584,4557)  (2644,4521)  (2711,4511)  (2506,4420)  (2573,4445)  (2594,4391)  (2819,4452)  (2788,4537)  (2708,4435)  (2473,4653)  (2422,4698)  (2384,4610)  (2328,4551)  (2432,4484)  (2502,4485)  (2439,4535)  (2504,4536)  | overflowToLeft=false
Siberia  (3051,3440)  (3156,3503)  (3156,3503)  (2979,3490)  (2856,3369)  (2911,3431)  (3169,3391)  (3062,3488)  (3018,3427)  | overflowToLeft=false
Sinkiang  (3247,3787)  (3203,3861)  (3268,3861)  (3372,3795)  (3294,3599)  (3366,3621)  (3271,3671)  (3370,3688)  (3252,3729)  (3317,3732)  (3311,3796)  | overflowToLeft=false
Smolensk  (2386,3406)  (2415,3499)  (2419,3557)  (2367,3378)  (2374,3434)  (2426,3434)  | overflowToLeft=false
Society Islands  (4132,764)  (4188,792)  | overflowToLeft=false
Solomon Islands  (4945,2244)  (5014,2284)  | overflowToLeft=false
Southern France  (1572,3463)  (1596,3615)  (1652,3522)  (1652,3522)  (1615,3575)  (1605,3445)  (1518,3510)  (1588,3512)  | overflowToLeft=false
Soviet Convoy Zone  (5620,5102)  (5667,5102)  | overflowToLeft=false
Soviet Far East  (3725,2935)  (3888,3124)  (3696,2860)  (3793,2941)  (3793,2941)  (3847,2984)  (3868,3047)  (3637,3018)  (3566,3184)  (3545,3248)  (3701,2960)  (3698,3015)  (3757,3013)  | overflowToLeft=false
Spain  (1336,3482)  (1320,3648)  (1170,3568)  (1311,3352)  (1311,3352)  (1264,3558)  (1332,3568)  (1396,3534)  (1395,3480)  (1348,3420)  (1258,3496)  (1451,3532)  (1208,3536)  | overflowToLeft=false
Sweden  (2264,3064)  (2075,3326)  (2189,3138)  (2167,3201)  (2077,3285)  (2383,2979)  (2329,3015)  (2274,3055)  (2217,3083)  | overflowToLeft=false
Switzerland  (1722,3544)  (1729,3486)  (1763,3536)  | overflowToLeft=false
Syria  (2234,4269)  (2288,4291)  (2392,4199)  (2370,4257)  (2286,4234)  (2339,4207)  | overflowToLeft=false
Szechuan  (3784,3742)  (3659,3843)  (3593,3891)  (3763,3851)  (3725,3763)  (3814,3684)  (3712,3833)  | overflowToLeft=false
Tangier  (1193,3668)  | overflowToLeft=false
Thailand  (3966,4099)  (4025,4101)  (3984,4183)  (3865,4121)  (3907,4180)  (4022,4363)  (3926,4124)  | overflowToLeft=false
Tibet  (3407,3908)  (3334,3941)  (3271,4002)  (3329,4006)  (3459,3991)  (3473,3931)  (3526,3972)  (3394,4024)  (3396,3964)  | overflowToLeft=false
Trans-Jordan  (2161,4384)  (2158,4432)  (2215,4391)  (2218,4335)  (2267,4377)  | overflowToLeft=false
Tsinghai  (3497,3772)  (3555,3818)  (3513,3659)  (3699,3677)  (3623,3682)  (3621,3751)  (3493,3837)  (3561,3727)  | overflowToLeft=false
Turkestan  (3024,3657)  (2790,3767)  (2852,3767)  (2914,3765)  (2936,3611)  (2998,3611)  (3060,3612)  (3174,3606)  (3116,3771)  (3024,3846)  (2962,3850)  (2896,3848)  (2720,3768)  (2920,3690)  (2983,3768)  (3050,3770)  (2990,3689)  (3055,3690)  (3132,3682)  (2895,3928)  (2961,3925)  (2758,3844)  (2770,3950)  (2771,4020)  (2840,4018)  (2910,4017)  (3028,3916)  | overflowToLeft=false
Turkey  (2248,4056)  (2140,4020)  (2030,4065)  (2333,4088)  (2333,4088)  (2090,4089)  (2150,4089)  (2477,4097)  (2420,4100)  (2312,4145)  (2154,4142)  (2368,4136)  (2193,4032)  (2091,4033)  (2254,4151)  (2208,4104)  | overflowToLeft=false
Ukraine  (2299,3658)  (2233,3633)  (2233,3633)  (2344,3715)  (2380,3766)  (2321,3767)  (2375,3649)  (2194,3603)  (2238,3686)  (2290,3715)  (2286,3631)  | overflowToLeft=false
Union of South Africa  (1065,5239)  (1452,5320)  (1372,5272)  (1372,5272)  (1440,5272)  (1512,5222)  (1296,5126)  (1162,5089)  (1085,4929)  (1406,5067)  (1177,4987)  (1080,5014)  (1280,5048)  (1411,5136)  (1357,5203)  (1432,5204)  (1204,5198)  (1276,5199)  (1279,5270)  | overflowToLeft=false
United Kingdom  (7093,2422)  (1752,3050)  (1879,2938)  (1694,3161)  (1981,2862)  (1809,3010)  (1809,3010)  (1927,2904)  (1801,3139)  (1838,2974)  (1696,3118)  (1932,2843)  (2059,2846)  (1640,3089)  (1809,3061)  (1877,2881)  (1828,2920)  (1698,3056)  (1748,3168)  (1748,3114)  | overflowToLeft=false
Volcano Islands  (4430,2798)  (4395,2834)  | overflowToLeft=false
Wake Island  (4519,2430)  (4479,2375)  | overflowToLeft=false
Western Australia  (5598,4102)  (5325,3527)  (5462,3798)  (5484,3919)  (5554,3917)  (5480,3995)  (5547,3993)  (5428,3429)  (5496,3427)  (5420,3501)  (5490,3504)  (5626,3470)  (5627,3533)  (5625,3604)  (5474,4070)  (5546,4067)  (5426,3603)  (5488,3600)  (5624,3669)  (5690,3342)  (5417,3687)  (5484,3685)  (5551,3750)  (5625,3748)  (5546,3825)  (5613,3826)  | overflowToLeft=false
Western Canada  (3026,1944)  (2803,2118)  (2994,2005)  (2994,2070)  (2996,2143)  (3070,2166)  (3019,2224)  (2722,2120)  (2722,2185)  (2801,2185)  (2732,2009)  (2808,2009)  (2894,2003)  (2898,2070)  (2896,2143)  | overflowToLeft=false
Western United States  (7093,3863)  (2899,1720)  (3019,1910)  (2957,1665)  (2860,1822)  (2860,1822)  (2987,1723)  (2807,1681)  (2827,1734)  (2815,1786)  (2925,1856)  (2973,1856)  (3022,1855)  (2964,1909)  (2971,1807)  (3019,1808)  (2865,1773)  (2921,1767)  | overflowToLeft=false
Yakutia  (3384,2922)  (3375,3043)  (3305,2843)  (3359,2746)  (3395,2839)  (3351,2668)  (3343,3234)  (3345,3300)  (3450,2918)  (3249,2927)  (3320,2925)  (3385,2924)  (3297,2988)  (3379,2983)  (3389,3111)  | overflowToLeft=false
Yugoslavia Albania  (1908,3711)  (1854,3759)  (1960,3816)  (1906,3817)  (1879,3668)  (1932,3875)  (1888,3754)  (1946,3753)  | overflowToLeft=false
Yunnan  (3841,3849)  (3882,3788)  (3791,3995)  (3761,3922)  (3827,3925)  | overflowToLeft=false
Chuya Highway  (3283,3522)  | overflowToLeft=false
Gotthard Tunnel  (1778,3589)  | overflowToLeft=false
Nathu La Pass  (3494,4071)  | overflowToLeft=false
Wakhan Corridor  (3170,3955)  | overflowToLeft=false
